00.000630,C,slurping,2
00.000655,A,slurping,2
00.000673,B,slurping,0
00.000692,D,slurping,2
00.000800,F,slurping,1
00.000925,G,slurping,1
00.001014,H,slurping,1
00.001093,I,slurping,0
00.001572,J,slurping,0
01.000853,B,swallowing
01.000869,C,swallowing
01.000890,A,swallowing
01.000906,F,swallowing
01.001084,D,swallowing
01.001179,I,swallowing
01.001183,H,swallowing
01.001196,G,swallowing
01.002387,J,swallowing
01.101651,E,slurping,2
01.101667,K,slurping,0
02.001005,B,idle
02.001012,F,idle
02.001093,C,idle
02.001095,A,idle
02.001107,B,slurping,1
02.001121,F,slurping,2
02.001167,C,slurping,0
02.001174,A,slurping,0
02.001268,H,idle
02.001273,G,idle
02.001285,I,idle
02.001337,H,slurping,1
02.001358,G,slurping,1
02.001410,I,slurping,2
02.001423,D,idle
02.002470,J,idle
02.116389,K,swallowing
02.129389,E,swallowing
02.202608,J,slurping,0
02.202614,D,slurping,2
03.001245,B,swallowing
03.001263,A,swallowing
03.001402,H,swallowing
03.001419,G,swallowing
03.001439,F,swallowing
03.001455,C,swallowing
03.001494,I,swallowing
03.116488,K,idle
03.116549,K,slurping,0
03.129474,E,idle
03.129523,E,slurping,0
03.202740,D,swallowing
03.202751,J,swallowing
04.001396,B,idle
04.001438,A,idle
04.001482,B,slurping,2
04.001497,C,idle
04.001532,C,slurping,0
04.001545,H,idle
04.001572,I,idle
04.001579,H,slurping,2
04.001606,G,idle
04.001611,I,slurping,1
04.001642,G,slurping,1
04.001647,F,idle
04.001664,A,slurping,1
04.001683,F,slurping,2
04.116639,K,swallowing
04.129639,E,swallowing
04.202864,D,idle
04.202873,J,idle
04.217449,D,slurping,0
04.229703,J,slurping,0
05.001581,B,swallowing
05.001638,C,swallowing
05.001648,H,swallowing
05.001717,I,swallowing
05.001730,F,swallowing
05.001748,A,swallowing
05.001767,G,swallowing
05.116734,K,idle
05.116802,K,slurping,0
05.129734,E,idle
05.129788,E,slurping,1
05.217550,D,swallowing
05.229808,J,swallowing
06.001714,B,idle
06.001742,H,idle
06.001819,B,slurping,0
06.001824,C,idle
06.001839,I,idle
06.001848,F,idle
06.001863,C,slurping,2
06.001868,G,idle
06.001880,A,idle
06.001908,H,slurping,0
06.002144,G,slurping,1
06.002159,I,slurping,2
06.002169,F,slurping,2
06.002178,A,slurping,1
06.116912,K,swallowing
06.129873,E,swallowing
06.217656,D,idle
06.217740,D,slurping,0
06.229915,J,idle
06.229971,J,slurping,1
07.001940,B,swallowing
07.001984,C,swallowing
07.001997,H,swallowing
07.002237,G,swallowing
07.002247,A,swallowing
07.002260,I,swallowing
07.002270,F,swallowing
07.117011,K,idle
07.117076,K,slurping,2
07.129956,E,idle
07.130006,E,slurping,1
07.217837,D,swallowing
07.230055,J,swallowing
08.002064,B,idle
08.002106,C,idle
08.002131,B,slurping,2
08.002182,C,slurping,2
08.002196,H,idle
08.002226,H,slurping,0
08.002340,G,idle
08.002361,F,idle
08.002390,G,slurping,1
08.002404,A,idle
08.002416,F,slurping,0
08.002427,I,idle
08.002439,A,slurping,0
08.002462,I,slurping,1
08.117182,K,swallowing
08.130123,E,swallowing
08.217934,D,idle
08.218001,D,slurping,2
08.230174,J,idle
08.230238,J,slurping,1
09.002257,B,swallowing
09.002291,C,swallowing
09.002308,H,swallowing
09.002493,G,swallowing
09.002505,A,swallowing
09.002518,F,swallowing
09.002528,I,swallowing
09.117269,K,idle
09.117327,K,slurping,1
09.130208,E,idle
09.130256,E,slurping,1
09.218093,D,swallowing
09.230341,J,swallowing
10.002388,B,idle
10.002430,H,idle
10.002462,B,slurping,0
10.002469,H,slurping,2
10.002482,C,idle
10.002524,C,slurping,1
10.002581,G,idle
10.002617,A,idle
10.002628,G,slurping,2
10.002653,A,slurping,0
10.002665,F,idle
10.002701,F,slurping,2
10.002713,I,idle
10.002762,I,slurping,0
10.117421,K,swallowing
10.130352,E,swallowing
10.218202,D,idle
10.218274,D,slurping,1
10.230409,J,idle
10.230462,J,slurping,1
11.002565,B,swallowing
11.002589,H,swallowing
11.002604,C,swallowing
11.002706,G,swallowing
11.002744,F,swallowing
11.002735,A,swallowing
11.002844,I,swallowing
11.117507,K,idle
11.117570,K,slurping,1
11.130405,E,idle
11.130456,E,slurping,2
11.218390,D,swallowing
11.230548,J,swallowing
12.002699,B,idle
12.002715,H,idle
12.002729,C,idle
12.002826,G,idle
12.002830,A,idle
12.002929,I,idle
12.002949,F,idle
12.003014,B,slurping,2
12.003226,A,slurping,0
12.003261,G,slurping,0
12.003335,I,slurping,0
12.003270,C,slurping,1
12.003291,H,slurping,1
12.003392,F,slurping,2
12.117675,K,swallowing
12.130537,E,swallowing
12.218493,D,idle
12.218555,D,slurping,1
12.230635,J,idle
12.230685,J,slurping,2
13.003136,B,swallowing
13.003306,A,swallowing
13.003391,I,swallowing
13.003401,C,swallowing
13.003414,G,swallowing
13.003466,F,swallowing
13.003479,H,swallowing
13.117776,K,idle
13.117847,K,slurping,1
13.130641,E,idle
13.130701,E,slurping,1
13.218649,D,swallowing
13.230771,J,swallowing
14.003257,B,idle
14.003325,B,slurping,1
14.003414,A,idle
14.003480,I,idle
14.003516,A,slurping,2
14.003539,I,slurping,2
14.003550,C,idle
14.003579,C,slurping,2
14.003589,G,idle
14.003611,H,idle
14.003627,G,slurping,0
14.003636,F,idle
14.003651,H,slurping,0
14.003677,F,slurping,0
14.117950,K,swallowing
14.130784,E,swallowing
14.218743,D,idle
14.218815,D,slurping,1
14.230871,J,idle
14.230924,J,slurping,1
15.003437,B,swallowing
15.003625,A,swallowing
15.003672,I,swallowing
15.003693,C,swallowing
15.003704,G,swallowing
15.003714,F,swallowing
15.003761,H,swallowing
15.118039,K,idle
15.118099,K,slurping,1
15.130871,E,idle
15.130915,E,slurping,2
15.218913,D,swallowing
15.231026,J,swallowing
16.003549,B,idle
16.003626,B,slurping,0
16.003724,A,idle
16.003759,I,idle
16.003769,C,idle
16.003784,G,idle
16.003800,F,idle
16.003825,A,slurping,1
16.003836,H,idle
16.004004,G,slurping,2
16.004011,F,slurping,0
16.004036,C,slurping,0
16.004065,I,slurping,1
16.004099,H,slurping,2
16.118195,K,swallowing
16.131008,E,swallowing
16.219012,D,idle
16.219072,D,slurping,1
16.231129,J,idle
16.231186,J,slurping,2
17.003741,B,swallowing
17.003906,A,swallowing
17.004104,G,swallowing
17.004118,F,swallowing
17.004231,H,swallowing
17.004271,I,swallowing
17.004319,C,swallowing
17.118292,K,idle
17.118348,K,slurping,1
17.131095,E,idle
17.131137,E,slurping,2
17.219186,D,swallowing
17.231272,J,swallowing
18.003844,B,idle
18.003910,B,slurping,1
