0,0,0,0,0,load
0,1,1,1,0,load
0,2,2,2,0,load
0,3,3,3,0,load
0,4,4,4,0,load
0,5,5,5,0,load
0,6,6,6,0,load
0,7,7,7,0,load
0,8,8,8,0,load
0,9,9,9,0,load
0,10,10,10,0,load
0,11,11,11,0,load
0,12,12,12,0,load
0,13,13,13,0,load
0,14,14,14,0,load
0,15,15,15,0,load
0,16,16,16,0,load
0,17,17,17,0,load
0,18,18,18,0,load
0,19,19,19,0,load
0,0,0,0,0,blocked
0,1,1,1,0,blocked
0,2,2,2,0,blocked
0,3,3,3,0,blocked
0,4,4,4,0,blocked
0,5,5,5,0,blocked
0,6,6,6,0,blocked
0,7,7,7,0,blocked
0,8,8,8,0,blocked
0,9,9,9,0,blocked
0,10,10,10,0,blocked
0,11,11,11,0,blocked
0,12,12,12,0,blocked
0,13,13,13,0,blocked
0,14,14,14,0,blocked
0,15,15,15,0,blocked
0,16,16,16,0,blocked
0,17,17,17,0,blocked
0,18,18,18,0,blocked
0,19,19,19,0,blocked
101,0,0,0,0,unblocked
101,1,1,1,0,unblocked
101,2,2,2,0,unblocked
101,3,3,3,0,unblocked
101,4,4,4,0,unblocked
101,5,5,5,0,unblocked
101,6,6,6,0,unblocked
101,7,7,7,0,unblocked
101,8,8,8,0,unblocked
101,9,9,9,0,unblocked
101,10,10,10,0,unblocked
101,11,11,11,0,unblocked
101,12,12,12,0,unblocked
101,12,12,12,0,branch_from
101,12,12,12,120,branch_to
101,13,13,13,0,unblocked
101,14,14,14,0,unblocked
101,15,15,15,0,unblocked
101,16,16,16,0,unblocked
101,17,17,17,0,unblocked
101,18,18,18,0,unblocked
101,19,19,19,0,unblocked
102,16,16,16,1,branch_from
102,16,16,16,869,branch_to
103,7,7,7,2,branch_from
103,7,7,7,1405,branch_to
103,16,16,16,869,blocked
104,7,7,7,1405,blocked
108,1,1,1,7,branch_from
108,1,1,1,1159,branch_to
109,1,1,1,1159,blocked
118,8,8,8,17,branch_from
118,8,8,8,1374,branch_to
119,8,8,8,1374,blocked
123,5,5,5,22,branch_from
123,5,5,5,872,branch_to
124,5,5,5,872,blocked
125,19,19,19,24,branch_from
125,19,19,19,1234,branch_to
126,19,19,19,1234,blocked
128,3,3,3,27,branch_from
128,3,3,3,744,branch_to
129,3,3,3,744,blocked
129,17,17,17,28,branch_from
129,17,17,17,1619,branch_to
130,17,17,17,1619,blocked
132,12,12,12,150,branch_from
132,12,12,12,74,branch_to
163,9,9,9,62,branch_from
163,9,9,9,1324,branch_to
164,9,9,9,1324,blocked
173,2,2,2,72,branch_from
173,2,2,2,1104,branch_to
174,2,2,2,1104,blocked
188,4,4,4,87,branch_from
188,4,4,4,881,branch_to
189,4,4,4,881,blocked
194,11,11,11,93,branch_from
194,11,11,11,1605,branch_to
195,11,11,11,1605,blocked
198,15,15,15,97,branch_from
198,15,15,15,1454,branch_to
199,15,15,15,1454,blocked
203,16,16,16,869,unblocked
204,7,7,7,1405,unblocked
206,10,10,10,105,branch_from
206,10,10,10,246,branch_to
209,1,1,1,1159,unblocked
209,18,18,18,108,branch_from
209,18,18,18,1574,branch_to
210,18,18,18,1574,blocked
212,7,7,7,1413,branch_from
212,7,7,7,241,branch_to
217,16,16,16,883,branch_from
217,16,16,16,18,branch_to
219,8,8,8,1374,unblocked
221,1,1,1,1171,branch_from
221,1,1,1,431,branch_to
224,5,5,5,872,unblocked
226,19,19,19,1234,unblocked
229,3,3,3,744,unblocked
230,17,17,17,1619,unblocked
